Label,Notation,Parent Notation,Sort Priority,Description
Mayotte,mayotte,africa-sub-saharan,157,
Mexico,mexico,america-central-and-south,158,
Micronesia,micronesia,oceania,159,
Moldova,moldova,europe-other,160,
Monaco,monaco,europe-other,161,
Mongolia,mongolia,asia-east,162,
Montenegro,montenegro,europe-other,163,
Montserrat (British),montserrat-british,other,164,
Morocco,morocco,africa-north,165,
Mozambique,mozambique,africa-sub-saharan,166,
Namibia,namibia,africa-sub-saharan,167,
Nauru,nauru,oceania,168,
Nepal,nepal,asia-south,169,
Netherlands,netherlands,eu-14,170,
Netherlands Antilles,netherlands-antilles,america-central-and-south,171,
New Caledonia,new-caledonia,oceania,172,
New Zealand,new-zealand,oceania,173,
Nicaragua,nicaragua,america-central-and-south,174,
Niger,niger,africa-sub-saharan,175,
Nigeria,nigeria,africa-sub-saharan,176,
Niue,niue,oceania,177,
Norfolk Island,norfolk-island,oceania,178,
Northern Mariana Islands,northern-mariana-islands,oceania,179,
Norway,norway,europe-other,180,
Occupied Palestinian Territories,occupied-palestinian-territories,middle-east,181,
Oman,oman,middle-east,182,
Other and unknown,other-and-unknown,other,183,
Pakistan,pakistan,asia-south,184,
Palau,palau,oceania,185,
Panama,panama,america-central-and-south,186,
Papua New Guinea,papua-new-guinea,oceania,187,
Paraguay,paraguay,america-central-and-south,188,
Peru,peru,america-central-and-south,189,
Philippines,philippines,asia-south-east,190,
Pitcairn Islands (British),pitcairn-islands-british,other,191,
Poland,poland,eu-8,192,
Portugal,portugal,eu-14,193,
Puerto Rico,puerto-rico,america-north,194,
Qatar,qatar,middle-east,195,
Refugee,refugee,other,196,
Rest of world,rest-of-world,world,197,
Reunion,reunion,africa-sub-saharan,198,
Romania,romania,eu-2,199,
Russia,russia,europe-other,200,
Rwanda,rwanda,africa-sub-saharan,201,
Samoa,samoa,oceania,202,
San Marino,san-marino,europe-other,203,
Sao Tome and Principe,sao-tome-and-principe,africa-sub-saharan,204,
Saudi Arabia,saudi-arabia,middle-east,205,
Senegal,senegal,africa-sub-saharan,206,
Serbia,serbia,europe-other,207,
Serbia and Montenegro,serbia-and-montenegro,europe-other,208,
Seychelles,seychelles,africa-sub-saharan,209,
Sierra Leone,sierra-leone,africa-sub-saharan,210,
Singapore,singapore,asia-south-east,211,
Slovakia,slovakia,eu-8,212,
Slovenia,slovenia,eu-8,213,
Solomon Islands,solomon-islands,oceania,214,
Somalia,somalia,africa-sub-saharan,215,
South Africa,south-africa,africa-sub-saharan,216,
South Georgia and South Sandwich Islands,south-georgia-and-south-sandwich-islands,other,217,
Spain,spain,eu-14,218,
Sri Lanka,sri-lanka,asia-south,219,
St. Helena (British),st-helena-british,other,220,
St. Kitts and Nevis,st-kitts-and-nevis,america-central-and-south,221,
St. Lucia,st-lucia,america-central-and-south,222,
St. Maarten (Dutch Part),st-maarten-dutch-part,america-central-and-south,223,
St. Martin (French Part),st-martin-french-part,america-central-and-south,224,
St. Pierre and Miquelon,st-pierre-and-miquelon,america-central-and-south,225,
St. Vincent and the Grenadines,st-vincent-and-the-grenadines,america-central-and-south,226,
Stateless,stateless,other,227,
Sudan,sudan,africa-north,228,
Sudan (South),sudan-south,africa-sub-saharan,229,
Surinam,surinam,america-central-and-south,230,
Svalbard and Jan Mayen,svalbard-and-jan-mayen,europe-other,231,
Swaziland,swaziland,africa-sub-saharan,232,
Sweden,sweden,eu-14,233,
Switzerland,switzerland,europe-other,234,
Syria,syria,middle-east,235,
Taiwan,taiwan,asia-east,236,
Tajikistan,tajikistan,asia-central,237,
Tanzania,tanzania,africa-sub-saharan,238,
Thailand,thailand,asia-south-east,239,
Togo,togo,africa-sub-saharan,240,
Tokelau,tokelau,oceania,241,
Tonga,tonga,oceania,242,
Trinidad and Tobago,trinidad-and-tobago,america-central-and-south,243,
Tunisia,tunisia,africa-north,244,
Turkey,turkey,europe-other,245,
Turkmenistan,turkmenistan,asia-central,246,
Turks and Caicos Islands (British),turks-and-caicos-islands-british,other,247,
Tuvalu,tuvalu,oceania,248,
Uganda,uganda,africa-sub-saharan,249,
Ukraine,ukraine,europe-other,250,
United Arab Emirates,united-arab-emirates,middle-east,251,
United States,united-states,america-north,252,
Uruguay,uruguay,america-central-and-south,253,
Uzbekistan,uzbekistan,asia-central,254,
Vanuatu,vanuatu,oceania,255,
Vatican City,vatican-city,europe-other,256,
Venezuela,venezuela,america-central-and-south,257,
Vietnam,vietnam,asia-south-east,258,
Virgin Islands (British),virgin-islands-british,other,259,
Virgin Islands (US),virgin-islands-us,america-north,260,
Wallis and Futuna,wallis-and-futuna,oceania,261,
Western Sahara,western-sahara,africa-north,262,
Yemen,yemen,middle-east,263,
Zambia,zambia,africa-sub-saharan,264,
Zimbabwe,zimbabwe,africa-sub-saharan,265,
