Label,Notation,Parent Notation,Sort Priority,Description
Total,nrs/total,,1,
Overseas,nrs/overseas,nrs/total,2,
Rest of the UK,nrs/rest-of-the-uk,nrs/total,3,
Austria,austria,nrs/total,4,
Belgium,belgium,nrs/total,5,
Bulgaria,bulgaria,nrs/total,6,
Croatia,croatia,nrs/total,7,
Cyprus,cyprus,nrs/total,8,
Czech Republic,czech-republic,nrs/total,9,
Denmark,denmark,nrs/total,10,
Estonia,estonia,nrs/total,11,
Finland,finland,nrs/total,12,
France,france,nrs/total,13,
Germany,germany,nrs/total,14,
Greece,greece,nrs/total,15,
Hungary,hungary,nrs/total,16,
Iceland,iceland,nrs/total,17,
Ireland,ireland,nrs/total,18,
Italy,italy,nrs/total,19,
Latvia,latvia,nrs/total,20,
Liechtenstein,liechtenstein,nrs/total,21,
Lithuania,lithuania,nrs/total,22,
Luxembourg,luxembourg,nrs/total,23,
Malta,malta,nrs/total,24,
Netherlands,netherlands,nrs/total,25,
Norway,norway,nrs/total,26,
Poland,poland,nrs/total,27,
Portugal,portugal,nrs/total,28,
Romania,romania,nrs/total,29,
Slovakia,slovakia,nrs/total,30,
Slovenia,slovenia,nrs/total,31,
Spain,spain,nrs/total,32,
Sweden,sweden,nrs/total,33,
Switzerland,switzerland,nrs/total,34,
