Label,Notation,Parent Notation,Sort Priority,Description
Kuwait,kuwait,middle-east-and-central-asia,127,
Kyrgyzstan,kyrgyzstan,middle-east-and-central-asia,128,
Lebanon,lebanon,middle-east-and-central-asia,129,
Oman,oman,middle-east-and-central-asia,130,
Palestine,palestine,middle-east-and-central-asia,131,
Qatar,qatar,middle-east-and-central-asia,132,
Saudi Arabia,saudi-arabia,middle-east-and-central-asia,133,
Syria,syria,middle-east-and-central-asia,134,
Tajikistan,tajikistan,middle-east-and-central-asia,135,
Turkmenistan,turkmenistan,middle-east-and-central-asia,136,
United Arab Emirates,united-arab-emirates,middle-east-and-central-asia,137,
Uzbekistan,uzbekistan,middle-east-and-central-asia,138,
Yemen,yemen,middle-east-and-central-asia,139,
East Asia,east-asia,asia,140,
China,china,east-asia,141,
Hong Kong,hong-kong,east-asia,142,
Macao,macao,east-asia,143,
Mongolia,mongolia,east-asia,144,
Japan,japan,east-asia,145,
"Korea, North / DPR",korea-north-dpr,east-asia,146,
"Korea, South / Republic",korea-south-republic,east-asia,147,
Taiwan,taiwan,east-asia,148,
South Asia,south-asia,asia,149,
Bangladesh,bangladesh,south-asia,150,
Bhutan,bhutan,south-asia,151,
India,india,south-asia,152,
Maldives,maldives,south-asia,153,
Nepal,nepal,south-asia,154,
Pakistan,pakistan,south-asia,155,
Sri Lanka,sri-lanka,south-asia,156,
South East Asia,south-east-asia,asia,157,
Brunei,brunei,south-east-asia,158,
Cambodia / Kampuchea,cambodia-kampuchea,south-east-asia,159,
East Timor,east-timor,south-east-asia,160,
Indonesia,indonesia,south-east-asia,161,
Laos,laos,south-east-asia,162,
Malaysia,malaysia,south-east-asia,163,
Myanmar / Burma,myanmar-burma,south-east-asia,164,
Philippines,philippines,south-east-asia,165,
Singapore,singapore,south-east-asia,166,
Thailand,thailand,south-east-asia,167,
Vietnam,vietnam,south-east-asia,168,
Rest of the World,rest-of-the-world,world,169,
Sub-Saharan Africa,sub-saharan-africa,rest-of-the-world,170,
Angola,angola,sub-saharan-africa,171,
Benin,benin,sub-saharan-africa,172,
Botswana,botswana,sub-saharan-africa,173,
Burkina Faso,burkina-faso,sub-saharan-africa,174,
Burundi,burundi,sub-saharan-africa,175,
Cameroon,cameroon,sub-saharan-africa,176,
Cape Verde,cape-verde,sub-saharan-africa,177,
Central African republic,central-african-republic,sub-saharan-africa,178,
Chad,chad,sub-saharan-africa,179,
Comoros,comoros,sub-saharan-africa,180,
Congo,congo,sub-saharan-africa,181,
Congo (Democratic Republic),congo-democratic-republic,sub-saharan-africa,182,
Djibouti,djibouti,sub-saharan-africa,183,
Equatorial Guinea,equatorial-guinea,sub-saharan-africa,184,
Eritrea,eritrea,sub-saharan-africa,185,
Ethiopia,ethiopia,sub-saharan-africa,186,
Gabon,gabon,sub-saharan-africa,187,
"Gambia, The",gambia-the,sub-saharan-africa,188,
Ghana,ghana,sub-saharan-africa,189,
Guinea,guinea,sub-saharan-africa,190,
Guinea - Bissau,guinea-bissau,sub-saharan-africa,191,
Ivory Coast,ivory-coast,sub-saharan-africa,192,
Kenya,kenya,sub-saharan-africa,193,
Lesotho,lesotho,sub-saharan-africa,194,
Liberia,liberia,sub-saharan-africa,195,
Madagascar,madagascar,sub-saharan-africa,196,
Malawi,malawi,sub-saharan-africa,197,
Mali,mali,sub-saharan-africa,198,
Mauritius,mauritius,sub-saharan-africa,199,
Mayotte,mayotte,sub-saharan-africa,200,
Mozambique,mozambique,sub-saharan-africa,201,
Namibia,namibia,sub-saharan-africa,202,
Niger,niger,sub-saharan-africa,203,
Nigeria,nigeria,sub-saharan-africa,204,
Reunion,reunion,sub-saharan-africa,205,
Rwanda,rwanda,sub-saharan-africa,206,
Sao Tome and Principe,sao-tome-and-principe,sub-saharan-africa,207,
Senegal,senegal,sub-saharan-africa,208,
Seychelles,seychelles,sub-saharan-africa,209,
Sierra Leone,sierra-leone,sub-saharan-africa,210,
Somalia,somalia,sub-saharan-africa,211,
South Africa,south-africa,sub-saharan-africa,212,
"Sudan, South",sudan-south,sub-saharan-africa,213,
Swaziland,swaziland,sub-saharan-africa,214,
Tanzania,tanzania,sub-saharan-africa,215,
Togo,togo,sub-saharan-africa,216,
Uganda,uganda,sub-saharan-africa,217,
Zambia,zambia,sub-saharan-africa,218,
Zimbabwe,zimbabwe,sub-saharan-africa,219,
North Africa,north-africa,rest-of-the-world,220,
Algeria,algeria,north-africa,221,
Egypt,egypt,north-africa,222,
Mauritania,mauritania,north-africa,223,
Morocco,morocco,north-africa,224,
Sudan (Ex),sudan-ex,north-africa,225,
Sudan,sudan,north-africa,226,
Libya,libya,north-africa,227,
Tunisia,tunisia,north-africa,228,
Western Sahara,western-sahara,north-africa,229,
North America,north-america,rest-of-the-world,230,
Canada,canada,north-america,231,
United States of America (USA),united-states-of-america-usa,north-america,232,
Puerto Rico,puerto-rico,united-states-of-america-usa,233,
"United States Virgin Islands, The",united-states-virgin-islands-the,united-states-of-america-usa,234,
Central and South America,central-and-south-america,rest-of-the-world,235,
Antigua and Barbuda,antigua-and-barbuda,central-and-south-america,236,
Antilles / Curacao,antilles-curacao,central-and-south-america,237,
Argentina,argentina,central-and-south-america,238,
Aruba,aruba,central-and-south-america,239,
"Bahamas, The",bahamas-the,central-and-south-america,240,
Barbados,barbados,central-and-south-america,241,
Belize,belize,central-and-south-america,242,
Bolivia,bolivia,central-and-south-america,243,
Brazil,brazil,central-and-south-america,244,
Chile,chile,central-and-south-america,245,
Colombia,colombia,central-and-south-america,246,
Costa Rica,costa-rica,central-and-south-america,247,
Cuba,cuba,central-and-south-america,248,
Dominica,dominica,central-and-south-america,249,
Dominican Republic,dominican-republic,central-and-south-america,250,
Ecuador,ecuador,central-and-south-america,251,
El Salvador,el-salvador,central-and-south-america,252,
French Guiana,french-guiana,central-and-south-america,253,
Grenada,grenada,central-and-south-america,254,
Guadeloupe,guadeloupe,central-and-south-america,255,
Guatemala,guatemala,central-and-south-america,256,
Guyana,guyana,central-and-south-america,257,
Haiti,haiti,central-and-south-america,258,
Honduras,honduras,central-and-south-america,259,
Jamaica,jamaica,central-and-south-america,260,
Martinique,martinique,central-and-south-america,261,
Mexico,mexico,central-and-south-america,262,
Nicaragua,nicaragua,central-and-south-america,263,
Panama,panama,central-and-south-america,264,
Paraguay,paraguay,central-and-south-america,265,
Peru,peru,central-and-south-america,266,
St Barthelemy,st-barthelemy,central-and-south-america,267,
St Kitts and Nevis,st-kitts-and-nevis,central-and-south-america,268,
St Lucia,st-lucia,central-and-south-america,269,
St Martin,st-martin,central-and-south-america,270,
St Pierre and Miquelon,st-pierre-and-miquelon,central-and-south-america,271,
St Vincent and the Grenadines,st-vincent-and-the-grenadines,central-and-south-america,272,
Suriname,suriname,central-and-south-america,273,
Trinidad and Tobago,trinidad-and-tobago,central-and-south-america,274,
Uruguay,uruguay,central-and-south-america,275,
Venezuela,venezuela,central-and-south-america,276,
Oceania,oceania,rest-of-the-world,277,
American Samoa ,american-samoa,oceania,278,
Antarctica (not otherwise specified),antarctica-not-otherwise-specified,oceania,279,
Australia,australia,oceania,280,
Cocos Island,cocos-island,australia,281,
Norfolk Island,norfolk-island,australia,282,
Christmas Island ,christmas-island,australia,283,
Heard Island and McDonald Islands,heard-island-and-mcdonald-islands,australia,284,
Cook Island,cook-island,oceania,285,
Fiji,fiji,oceania,286,
French Polynesia,french-polynesia,oceania,287,
French Southern / Antarctic Territories,french-southern-antarctic-territories,oceania,288,
Guam,guam,oceania,289,
Kiribati (and other Pacific Islands),kiribati-and-other-pacific-islands,oceania,290,
Marshall Islands,marshall-islands,oceania,291,
Micronesia ,micronesia,oceania,292,
Nauru,nauru,oceania,293,
New Caledonia,new-caledonia,oceania,294,
New Zealand,new-zealand,oceania,295,
Tokelau,tokelau,new-zealand,296,
Niue Island,niue-island,oceania,297,
Northern Mariana Islands,northern-mariana-islands,oceania,298,
Pacific Islands (inc Palau),pacific-islands-inc-palau,oceania,299,
Papua New Guinea,papua-new-guinea,oceania,300,
"Samoa, Western",samoa-western,oceania,301,
Solomon Islands,solomon-islands,oceania,302,
Tonga,tonga,oceania,303,
Tuvalu,tuvalu,oceania,304,
Vanuatu,vanuatu,oceania,305,
Wallis and Futuna Islands,wallis-and-futuna-islands,oceania,306,
Stateless,stateless,world,307,
