Label,Wikidata ID,Notation,Parent Notation,Sort Priority,Description
All nationalities,,all,,1,
European Union,,european-union,all,2,
Rest of the World,,rest-of-the-world,all,3,
Non-European Union (Other Europe),,non-european-union-other-europe,all,4,
Asia,,asia,all,5,
East Asia,,east-asia,asia,6,
Middle East and Central Asia,,middle-east-and-central-asia,asia,7,
South Asia,,south-asia,asia,8,
South East Asia,,south-east-asia,asia,9,
European Union EU15,,european-union-eu15,european-union,10,
European Union EU2,,european-union-eu2,european-union,11,
European Union EU8,,european-union-eu8,european-union,12,
European Union Other,,european-union-other,european-union,13,
Other Europe,,other-europe,non-european-union-other-europe,14,
Central and South America,,central-and-south-america,rest-of-the-world,15,
North Africa,,north-africa,rest-of-the-world,16,
North America,,north-america,rest-of-the-world,17,
Oceania,,oceania,rest-of-the-world,18,
Sub-Saharan Africa,,sub-saharan-africa,rest-of-the-world,19,
People's Republic of China,Q148,china,east-asia,20,
Hong Kong,Q8646,hong-kong,east-asia,21,
Japan,Q17,japan,east-asia,22,
Macau,Q14773,macau,east-asia,23,
Mongolia,Q711,mongolia,east-asia,24,
North Korea,Q423,north-korea,east-asia,25,
South Korea,Q884,south-korea,east-asia,26,
Taiwan,Q865,taiwan,east-asia,27,
Afghanistan,Q889,afghanistan,middle-east-and-central-asia,28,
Bahrain,Q398,bahrain,middle-east-and-central-asia,29,
Iran,Q794,iran,middle-east-and-central-asia,30,
Iraq,Q796,iraq,middle-east-and-central-asia,31,
Israel,Q801,israel,middle-east-and-central-asia,32,
Jordan,Q810,jordan,middle-east-and-central-asia,33,
Kazakhstan,Q232,kazakhstan,middle-east-and-central-asia,34,
Kuwait,Q817,kuwait,middle-east-and-central-asia,35,
Kyrgyzstan,Q813,kyrgyzstan,middle-east-and-central-asia,36,
Lebanon,Q822,lebanon,middle-east-and-central-asia,37,
Oman,Q842,oman,middle-east-and-central-asia,38,
Qatar,Q846,qatar,middle-east-and-central-asia,39,
Saudi Arabia,Q851,saudi-arabia,middle-east-and-central-asia,40,
Sharjah,Q289693,sharjah,middle-east-and-central-asia,41,
Syria,Q858,syria,middle-east-and-central-asia,42,
Tajikistan,Q863,tajikistan,middle-east-and-central-asia,43,
Turkmenistan,Q874,turkmenistan,middle-east-and-central-asia,44,
United Arab Emirates,Q878,united-arab-emirates,middle-east-and-central-asia,45,
Uzbekistan,Q265,uzbekistan,middle-east-and-central-asia,46,
Yemen,Q805,yemen,middle-east-and-central-asia,47,
Bangladesh,Q902,bangladesh,south-asia,48,
Bhutan,Q917,bhutan,south-asia,49,
British Indian Ocean Territory,Q43448,british-indian-ocean-territory,south-asia,50,
India,Q668,india,south-asia,51,
Maldives,Q826,maldives,south-asia,52,
Nepal,Q837,nepal,south-asia,53,
Pakistan,Q843,pakistan,south-asia,54,
Sri Lanka,Q854,sri-lanka,south-asia,55,
Brunei,Q921,brunei,south-east-asia,56,
Myanmar,Q836,burma,south-east-asia,57,
Cambodia,Q424,cambodia,south-east-asia,58,
East Timor,Q574,east-timor,south-east-asia,59,
Indonesia,Q252,indonesia,south-east-asia,60,
Laos,Q819,laos,south-east-asia,61,
Malaysia,Q833,malaysia,south-east-asia,62,
Philippines,Q928,philippines,south-east-asia,63,
Sabah,Q179029,sabah,south-east-asia,64,
Raj of Sarawak,Q1658411,sarawak,south-east-asia,65,
Singapore,Q334,singapore,south-east-asia,66,
Thailand,Q869,thailand,south-east-asia,67,
Vietnam,Q881,vietnam,south-east-asia,68,
Austria,Q40,austria,european-union-eu15,69,
Belgium,Q31,belgium,european-union-eu15,70,
Denmark,Q35,denmark,european-union-eu15,71,
Finland,Q33,finland,european-union-eu15,72,
France,Q142,france,european-union-eu15,73,
Germany,Q183,germany,european-union-eu15,74,
Greece,Q41,greece,european-union-eu15,75,
Ireland,Q27,ireland,european-union-eu15,76,
Italy,Q38,italy,european-union-eu15,77,
Luxembourg,Q32,luxembourg,european-union-eu15,78,
Netherlands,Q55,netherlands,european-union-eu15,79,
Portugal,Q45,portugal,european-union-eu15,80,
Spain,Q29,spain,european-union-eu15,81,
Sweden,Q34,sweden,european-union-eu15,82,
Bulgaria,Q219,bulgaria,european-union-eu2,83,
Romania,Q218,romania,european-union-eu2,84,
Czech Republic,Q213,czech-republic,european-union-eu8,85,
Estonia,Q191,estonia,european-union-eu8,86,
Hungary,Q28,hungary,european-union-eu8,87,
Latvia,Q211,latvia,european-union-eu8,88,
Lithuania,Q37,lithuania,european-union-eu8,89,
Poland,Q36,poland,european-union-eu8,90,
Slovakia,Q214,slovakia,european-union-eu8,91,
Slovenia,Q215,slovenia,european-union-eu8,92,
Croatia,Q224,croatia,european-union-other,93,
Cyprus,Q229,cyprus,european-union-other,94,
Malta,Q233,malta,european-union-other,95,
Albania,Q222,albania,other-europe,96,
Andorra,Q228,andorra,other-europe,97,
Armenia,Q399,armenia,other-europe,98,
Azerbaijan,Q227,azerbaijan,other-europe,99,
Belarus,Q184,belarus,other-europe,100,
Bosnia and Herzegovina,Q225,bosnia-and-herzegovina,other-europe,101,
Bouvet Island,Q23408,bouvet-island,other-europe,102,
Faroe Islands,Q4628,faroe-islands,other-europe,103,
Georgia,Q230,georgia,other-europe,104,
Greenland,Q223,greenland,other-europe,105,
Iceland,Q189,iceland,other-europe,106,
Liechtenstein,Q347,liechtenstein,other-europe,107,
Macedonia,,macedonia,other-europe,108,
Moldova,Q217,moldova,other-europe,109,
Monaco,Q235,monaco,other-europe,110,
Norway,Q20,norway,other-europe,111,
Russia,Q159,russia,other-europe,112,
San Marino,Q238,san-marino,other-europe,113,
Serbia and Montenegro,Q37024,serbia-montenegro,other-europe,114,
Switzerland,Q39,switzerland,other-europe,115,
Turkey,Q43,turkey,other-europe,116,
Ukraine,Q212,ukraine,other-europe,117,
Vatican City,Q237,vatican-city,other-europe,118,
Anguilla,Q25228,anguilla,central-and-south-america,119,
Antigua,Q316390,antigua,central-and-south-america,120,
Netherlands Antilles,Q25227,antilles-netherlands,central-and-south-america,121,
Argentina,Q414,argentina,central-and-south-america,122,
Aruba and Curaçao,,aruba-and-curacao,central-and-south-america,123,
Bahamas,Q778,bahamas,central-and-south-america,124,
Barbados,Q244,barbados,central-and-south-america,125,
Barbuda,Q238752,barbuda,central-and-south-america,126,
Belize,Q242,belize,central-and-south-america,127,
Bermuda,Q23635,bermuda,central-and-south-america,128,
Bolivia,Q750,bolivia,central-and-south-america,129,
Brazil,Q155,brazil,central-and-south-america,130,
Cayman Islands,Q5785,cayman-islands,central-and-south-america,131,
Chile,Q298,chile,central-and-south-america,132,
Colombia,Q739,colombia,central-and-south-america,133,
Costa Rica,Q800,costa-rica,central-and-south-america,134,
Cuba,Q241,cuba,central-and-south-america,135,
Dominica,Q784,dominica,central-and-south-america,136,
Dominican Republic,Q786,dominican-rep,central-and-south-america,137,
Ecuador,Q736,ecuador,central-and-south-america,138,
El Salvador,Q792,el-salvador,central-and-south-america,139,
Falkland Islands,Q9648,falkland-islands,central-and-south-america,140,
French Guiana,Q3769,french-guiana,central-and-south-america,141,
Grenada,Q769,grenada,central-and-south-america,142,
Guadeloupe,Q17012,guadeloupe,central-and-south-america,143,
Guatemala,Q774,guatemala,central-and-south-america,144,
Guyana,Q734,guyana,central-and-south-america,145,
Haiti,Q790,haiti,central-and-south-america,146,
Honduras,Q783,honduras,central-and-south-america,147,
Jamaica,Q766,jamaica,central-and-south-america,148,
Martinique,Q17054,martinique,central-and-south-america,149,
Mexico,Q96,mexico,central-and-south-america,150,
Montserrat,Q13353,montserrat,central-and-south-america,151,
Nicaragua,Q811,nicaragua,central-and-south-america,152,
Panama,Q804,panama,central-and-south-america,153,
Paraguay,Q733,paraguay,central-and-south-america,154,
Peru,Q419,peru,central-and-south-america,155,
Sint Maarten,Q26273,sint-maarten-dutch-part,central-and-south-america,156,
South Georgia and the South Sandwich Islands,Q35086,south-georgia-south-sandwich-island,central-and-south-america,157,
Saint Kitts and Nevis,Q763,st-kitts-and-nevis,central-and-south-america,158,
Saint Lucia,Q760,st-lucia,central-and-south-america,159,
Saint Pierre and Miquelon,Q34617,st-pierre-miquelon,central-and-south-america,160,
Saint Vincent and the Grenadines,Q757,st-vincent-grenadines,central-and-south-america,161,
Suriname,Q730,suriname,central-and-south-america,162,
Trinidad and Tobago,Q754,trinidad-tobago,central-and-south-america,163,
Turks and Caicos Islands,Q18221,turks-caicos-islands,central-and-south-america,164,
Uruguay,Q77,uruguay,central-and-south-america,165,
Venezuela,Q717,venezuala,central-and-south-america,166,
British Virgin Islands,Q25305,virgin-islands-british,central-and-south-america,167,
Algeria,Q262,algeria,north-africa,168,
Egypt,Q79,egypt,north-africa,169,
Libya,Q1016,libya,north-africa,170,
Mauritania,Q1025,mauritania,north-africa,171,
Morocco,Q1028,morocco,north-africa,172,
Sudan,Q1049,sudan,north-africa,173,
Tunisia,Q948,tunisia,north-africa,174,
Sahrawi Arab Democratic Republic,Q40362,western-sahara,north-africa,175,
Canada,Q16,canada,north-america,176,
Puerto Rico,Q1183,puerto-rico,north-america,177,
United States of America,Q30,united-states,north-america,178,
United States Virgin Islands,Q11703,virgin-islands-usa,north-america,179,
American Samoa,Q16641,american-samoa,oceania,180,
British Antarctic Territory,Q165783,antarctic-territories-british,oceania,181,
Australia,Q408,australia,oceania,182,
Christmas Island,Q31063,christmas-island,oceania,183,
Cocos (Keeling) Islands,Q36004,cocos-keeling-islands,oceania,184,
Cook Islands,Q26988,cook-islands,oceania,185,
Fiji,Q712,fiji,oceania,186,
French Polynesia,Q30971,french-polynesia-inc-tahiti,oceania,187,
French Southern and Antarctic Lands,Q129003,french-southern-territories,oceania,188,
Heard Island and McDonald Islands,Q131198,heard-island-mcdonald-islands,oceania,189,
