Label,Notation,Parent Notation,Sort Priority,Description
Not applicable,not-applicable,,,This value is displayed where the particular migrant characteristics are not relevant in the period covered by the datasheet.
No contact,no-contact,,,This value is used where the International Passenger Survey has had no contact with any migrant having the particular characteristics in the period covered by the datasheet.
Rounds to zero,rounds-to-zero,,,Value is less than 50 as all values are rounded to nearest 100.
No marker,,,,There is no marker
